Page Title,UI Component Name,Function description,Tshirt Sizing,Number of occurrences,Complexity justification,Page URL,Source block name,Variation type,Other remarks
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,header_chrome,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: ALL IN ONE PLACE Education and resources to support your practice throughout the BOTOX® patient journey Register…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_0,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 1,Major content region in main (div). Preview: BOTOX® PRODUCT AUTHENTICITY Is your BOTOX® authentic and FDA approved for use in the US? Here's how to be sure. LEARN MO…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_1,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),columns,"Major content region in main (div). Preview: PERSONALIZED SUPPORT Invite all your BOTOX® patients to enroll in BOTOX® Complete BOTOX® Complete is a free, personalize…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,columns,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 3,Major content region in main (div). Preview: ALL IN ONE PLACE Everything your practice needs for BOTOX® therapeutic use Welcome to BOTOX® ONE®. We're committed to he…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_3,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 4,"Major content region in main (div). Preview: Dashboard See key information in a single location Create a profile and view your practice’s BOTOX® dashboard, which con…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_4,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 5,"Major content region in main (div). Preview: COMPREHENSIVE Made for your team Whether you're an injector or an office manager, BOTOX ONE® is your source for all thin…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_5,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 6,"Major content region in main (div). Preview: RESOURCES Download clinical, office, and patient resources It’s never been easier to quickly access the resources you ne…",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_6,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 7,Major content region in main (div). Preview: Help Assistance from AbbVie experts Get in touch with a BOTOX® Account Specialist to answer any questions you may have. …,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_7,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),main region 8,Major content region in main (div). Preview: INTRODUCING BOTOX® COMPLETE Introducing Personalized support for your patients on BOTOX® Support for ALL BOTOX® patients…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,main_region_8,default,templateIds: tpl_0
HOME | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/,site_footer,default,templateIds: tpl_0
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,header_chrome,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),main region 0,Major content region in main (div). Preview: Hyperhidrosis Hyperhidrosis Patient ID Efficacy Safety Dosing and Administration Resources Hidden Link List Sec 1 Anchor…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,main_region_0,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),main region 1,Major content region in main (div). Preview: One treatment Up to 201 days of drier underarms1 BOTOX® is proven to provide over 6 months of improvement from severe pr…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,main_region_1,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),main region 2,Major content region in main (div). Preview: Indication Primary Axillary Hyperhidrosis BOTOX® is indicated for the treatment of severe primary axillary hyperhidrosis…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,main_region_2,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),main region 3,Major content region in main (div). Preview: BOTOX® efficacy was shown in the majority of patients with severe primary axillary hyperhidrosis1 When topical agents ar…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,main_region_3,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),main region 4,Major content region in main (div). Preview: Dosing and administration Review the supplies and procedure to administer BOTOX®. VIEW DOSING AND ADMINISTRATION…,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,main_region_4,default,templateIds: tpl_1
Severe Primary Axillary Hyperhidrosis | BOTOX ONE®| BOTOX® (onabotulinumtoxinA),Site footer,"Footer links, legal, social, and ancillary navigation.",M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/hyperhidrosis,site_footer,default,templateIds: tpl_1
Register | BOTOX ONE® | BOTOX® (onabotulinumtoxinA),Site header,Combined header region (utility + navigation if not split).,M,1,"No LLM mapping run. Enable credentials for the block-mapping agent, or assign catalog blocks manually using query_aem_blocks_catalog / MCP list_blocks.",https://www.botoxone.com/register,header_chrome,default,templateIds: tpl_2
